model,review_raw,review_clean,rating_num,sentiment,predicted_sentiment,review_length_words,question_count,exclamation_count,encoding_issue_flag,duplicate_text_flag
Logistic Regression,They are doing good even though they are VERY short staffed. It took 15mins in total to get our food.,they are doing good even though they are very short staffed it took mins in total to get our food,3.0,neutral,negative,20,0,0,0,0
Logistic Regression,It's a McDonald's. Enough said. Clean. Parking is extremely small and the spaces very tight. Good luck getting a large SUV in there,it's a mcdonald's enough said clean parking is extremely small and the spaces very tight good luck getting a large suv in there,3.0,neutral,positive,23,0,0,0,0
Logistic Regression,Clean bathroom clean tables. Mobile order came out in 2 mins (off peak),clean bathroom clean tables mobile order came out in mins off peak,5.0,positive,negative,12,0,0,0,0
Logistic Regression,Would have been five stars but our fries were old and refried,would have been five stars but our fries were old and refried,3.0,neutral,positive,12,0,0,0,0
Logistic Regression,Fast service food good but pricey,fast service food good but pricey,4.0,positive,neutral,6,0,0,0,0
Logistic Regression,"Service was very very slow  , then the food was barely warm.",service was very very slow then the food was barely warm,4.0,positive,negative,11,0,0,0,0
Logistic Regression,Good service...crappy food fries were old same as nuggets,good service crappy food fries were old same as nuggets,1.0,negative,neutral,10,0,0,0,0
Logistic Regression,Who forgets to put meat on a sandwich? Brodheadsville MC Donalds that's who. I mean really?,who forgets to put meat on a sandwich brodheadsville mc donalds that's who i mean really,1.0,negative,neutral,16,2,0,0,0
Logistic Regression,"I always order special food, they usually get it right at this location.",i always order special food they usually get it right at this location,4.0,positive,neutral,13,0,0,0,0
Logistic Regression,It's you know. Fast food. Had an egg mcmuffen.,it's you know fast food had an egg mcmuffen,5.0,positive,neutral,9,0,0,0,0
Logistic Regression,People had a good sense of humor,people had a good sense of humor,2.0,negative,positive,7,0,0,0,0
Logistic Regression,Great place Moderate Prices,great place moderate prices,1.0,negative,positive,4,0,0,0,0
Logistic Regression,Lisa is a sweet lady,lisa is a sweet lady,5.0,positive,neutral,5,0,0,0,0
Logistic Regression,Easy clean and convenient,easy clean and convenient,3.0,neutral,positive,4,0,0,0,0
Logistic Regression,Great service and friendly,great service and friendly,3.0,neutral,positive,4,0,0,0,0
Logistic Regression,Fast sevice,fast sevice,3.0,neutral,positive,2,0,0,0,1
Logistic Regression,I work for then,i work for then,5.0,positive,negative,4,0,0,0,0
Logistic Regression,S L O W service.,s l o w service,3.0,neutral,positive,5,0,0,0,0
Logistic Regression,I was hungry,i was hungry,5.0,positive,neutral,3,0,0,0,0
Logistic Regression,"Food are ok(typically mc), service are good but They don't allow scooter get in.",food are ok typically mc service are good but they don't allow scooter get in,4.0,positive,neutral,15,0,0,0,0
Logistic Regression,"The regular parking spots were taken, but there was ample mobile order curbside service parking. I'd never ordered that way before, but it was for take out anyway. An employee delivered the food within 5 minutes of placing the order. Overall it was a good experience.",the regular parking spots were taken but there was ample mobile order curbside service parking i'd never ordered that way before but it was for take out anyway an employee delivered the food within minutes of placing the order overall it was a good experience,5.0,positive,neutral,45,0,0,0,0
Logistic Regression,It's a busy place.  Employees are not very friendly. I only come to this location for the convenience but they usually very slow.  I always need to check my orders before I leave because they frequently missing stuffs or got it wrong.,it's a busy place employees are not very friendly i only come to this location for the convenience but they usually very slow i always need to check my orders before i leave because they frequently missing stuffs or got it wrong,2.0,negative,neutral,42,0,0,0,0
Logistic Regression,Mic Ribby was smacking. Atmosphere was a 'lil lackin'. Service? It was slappin'.,mic ribby was smacking atmosphere was a 'lil lackin' service it was slappin',5.0,positive,neutral,13,1,0,0,0
Logistic Regression,There used to be a play place and after recent construction I was taken away. No need to bring your children here anymore.,there used to be a play place and after recent construction i was taken away no need to bring your children here anymore,3.0,neutral,negative,23,0,0,0,0
Logistic Regression,Clean and friendly! But don't order Uber Eats the food was cold! And they took longer then expected. I hate that waiting and waiting! 25 minutes late that's just not good service.,clean and friendly but don't order uber eats the food was cold and they took longer then expected i hate that waiting and waiting minutes late that's just not good service,5.0,positive,negative,31,0,3,0,0
Logistic Regression,This place is severely understaffed. I hope upper management sees this and doesn't punish the workers instead of actually fixing the problem.,this place is severely understaffed i hope upper management sees this and doesn't punish the workers instead of actually fixing the problem,3.0,neutral,negative,22,0,0,0,0
Logistic Regression,"Restruant I visit most, I hate after school it's too crowded, I hate late night it's too slow and rude workers. But I understand, and am grateful for unwavering service",restruant i visit most i hate after school it's too crowded i hate late night it's too slow and rude workers but i understand and am grateful for unwavering service,5.0,positive,negative,30,0,0,0,0
Logistic Regression,No refills on drinks owner keeps ac on low making it hot inside. School kids sit at all seats taking up space and are noisy.,no refills on drinks owner keeps ac on low making it hot inside school kids sit at all seats taking up space and are noisy,2.0,negative,neutral,25,0,0,0,0
Logistic Regression,The food is normal but always check ur nuggets some might be missing or the whole container as well!!!,the food is normal but always check ur nuggets some might be missing or the whole container as well,5.0,positive,neutral,19,0,3,0,0
Logistic Regression,Good parking lot but seems like they are short with staff as it's dirty inside with garbage container fully loaded,good parking lot but seems like they are short with staff as it's dirty inside with garbage container fully loaded,3.0,neutral,negative,20,0,0,0,0
Logistic Regression,Staff was too busy having a conversation in the back instead of helping,staff was too busy having a conversation in the back instead of helping,1.0,negative,neutral,13,0,0,0,0
Logistic Regression,It's ok need better customer service,it's ok need better customer service,1.0,negative,neutral,6,0,0,0,0
Logistic Regression,This McDonaldï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,this mcdonald,3.0,neutral,positive,2,0,0,0,1
Logistic Regression,Boring fast food joint.......not the same any more,boring fast food joint not the same any more,2.0,negative,neutral,9,0,0,0,0
Logistic Regression,Sad you can not eat inside,sad you can not eat inside,4.0,positive,negative,6,0,0,0,0
Logistic Regression,Very slow service especially at the drive thru,very slow service especially at the drive thru,1.0,negative,neutral,8,0,0,0,0
Logistic Regression,Most of the tables aren't cleaned.,most of the tables aren't cleaned,2.0,negative,neutral,6,0,0,0,0
Logistic Regression,"Good on most days,  not very friendly",good on most days not very friendly,3.0,neutral,positive,7,0,0,0,0
Logistic Regression,Customer service is not good.,customer service is not good,3.0,neutral,negative,5,0,0,0,0
Logistic Regression,"They have a play place for the monsters ,need i say more!!",they have a play place for the monsters need i say more,5.0,positive,neutral,12,0,2,0,0
Logistic Regression,Lowest mcdonalds,lowest mcdonalds,1.0,negative,positive,2,0,0,0,0
Logistic Regression,The old one was better,the old one was better,5.0,positive,neutral,5,0,0,0,0
Logistic Regression,It's ok,it's ok,5.0,positive,neutral,2,0,0,0,1
Logistic Regression,Bum city,bum city,1.0,negative,neutral,2,0,0,0,0
Logistic Regression,Only place around,only place around,5.0,positive,neutral,3,0,0,0,0
Logistic Regression,Staff was rude,staff was rude,3.0,neutral,negative,3,0,0,0,1
Logistic Regression,Legit,legit,5.0,positive,negative,1,0,0,0,0
Logistic Regression,"With today's day and age a change will come quoted from a great leader, troubles you might face turn your head to it. New place but remember I haven't did any thing you didn't want already happened, coffee and cookie any one they got meals too. And of course fast service, I hope.",with today's day and age a change will come quoted from a great leader troubles you might face turn your head to it new place but remember i haven't did any thing you didn't want already happened coffee and cookie any one they got meals too and of course fast service i hope,3.0,neutral,positive,53,0,0,0,0
Logistic Regression,Known food at good price. Clean areas. Not crowded.,known food at good price clean areas not crowded,5.0,positive,neutral,9,0,0,0,0
Logistic Regression,Slow service the self order kisoks were broken and the restaurant was filthy.,slow service the self order kisoks were broken and the restaurant was filthy,1.0,negative,neutral,13,0,0,0,0
Logistic Regression,Just bad service wasn't busy but the food took 15-20 mins,just bad service wasn't busy but the food took mins,2.0,negative,neutral,10,0,0,0,0
Logistic Regression,"McDonald's food is usually the same everywhere I go. Yay fastfood. I went to this one during the Big Apple Comic Con 2017 weekend. They handled the con rush well. Costumes and hungry cos players can be a struggle, but the managers were right there with their employees making sure everything was ok. A homeless dude was asking for money. Kind of sucked, but they got rid of him quickly though.",mcdonald's food is usually the same everywhere i go yay fastfood i went to this one during the big apple comic con weekend they handled the con rush well costumes and hungry cos players can be a struggle but the managers were right there with their employees making sure everything was ok a homeless dude was asking for money kind of sucked but they got rid of him quickly though,4.0,positive,neutral,70,0,0,0,0
Logistic Regression,The service at the counter was nice. But there's an old man that acts like the 2nd floor VIP bouncer was very aggressive and off-putting.,the service at the counter was nice but there's an old man that acts like the nd floor vip bouncer was very aggressive and off putting,2.0,negative,positive,26,0,0,0,0
Logistic Regression,"Terrible system & they left the bag over on tbe side & never came to ask who order belonged to, i finally sent my Grandson to go check. Food was cold. Not happy",terrible system they left the bag over on tbe side never came to ask who order belonged to i finally sent my grandson to go check food was cold not happy,3.0,neutral,negative,31,0,0,0,0
Logistic Regression,One of the better run McDonald's in Midtown. No dine-in at present,one of the better run mcdonald's in midtown no dine in at present,4.0,positive,neutral,13,0,0,0,0
Logistic Regression,They are alot faster than the one on 8th Avenue and less crowded,they are alot faster than the one on th avenue and less crowded,5.0,positive,neutral,13,0,0,0,0
Logistic Regression,"Serving us even when it's 4am most McD's are ""closed for the switch to breakfast"" thanks for being you guys!",serving us even when it's am most mcd's are closed for the switch to breakfast thanks for being you guys,5.0,positive,negative,20,0,1,0,0
Logistic Regression,"Im from floirda and this mcdonalds is so cool because it is so not what im used to-the architectural aspect of it, i mean.",im from floirda and this mcdonalds is so cool because it is so not what im used to the architectural aspect of it i mean,5.0,positive,negative,25,0,0,0,0
Logistic Regression,Business as usual 24 hours per day!,business as usual hours per day,4.0,positive,negative,6,0,1,0,0
Logistic Regression,It's ok,it's ok,4.0,positive,neutral,2,0,0,0,1
Logistic Regression,I only get coffee from them,i only get coffee from them,5.0,positive,neutral,6,0,0,0,0
Logistic Regression,Always pack,always pack,5.0,positive,neutral,2,0,0,0,0
Logistic Regression,So slow I missed the train,so slow i missed the train,1.0,negative,neutral,6,0,0,0,0
Logistic Regression,There be nuggets,there be nuggets,5.0,positive,negative,3,0,0,0,0
Logistic Regression,POLITE CASHIER,polite cashier,3.0,neutral,positive,2,0,0,0,0
Logistic Regression,McDonald s On Steroids,mcdonald s on steroids,3.0,neutral,positive,4,0,0,0,0
Logistic Regression,Fries were certainly one of the worst so far. The nuggets were pretty good and I got a seat. Service was great. Even if a machine doesn't issue any receipts and you could run into problems as a result.,fries were certainly one of the worst so far the nuggets were pretty good and i got a seat service was great even if a machine doesn't issue any receipts and you could run into problems as a result,4.0,positive,negative,39,0,0,0,0
Logistic Regression,A little cleaning in the client room,a little cleaning in the client room,4.0,positive,neutral,7,0,0,0,0
Logistic Regression,"You get your food stowed in a bag as standard whether you want to eat in or take it with you. Sauce on the Mc fish fillet also oilier than normal. Furthermore, this Mc on 34th street was dingy.",you get your food stowed in a bag as standard whether you want to eat in or take it with you sauce on the mc fish fillet also oilier than normal furthermore this mc on th street was dingy,2.0,negative,neutral,39,0,0,0,0
Logistic Regression,How the warmth has deteriorated in this chain,how the warmth has deteriorated in this chain,3.0,neutral,negative,8,0,0,0,0
Logistic Regression,A must if you don't want to spend too much,a must if you don't want to spend too much,4.0,positive,negative,10,0,0,0,0
Logistic Regression,Free toilet! ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,free toilet,5.0,positive,neutral,2,0,1,0,0
Logistic Regression,Ehhhh.,ehhhh,3.0,neutral,positive,1,0,0,0,0
Logistic Regression,As usual,as usual,1.0,negative,neutral,2,0,0,0,0
Logistic Regression,live full,live full,5.0,positive,neutral,2,0,0,0,0
Logistic Regression,Also McDonald's!,also mcdonald's,4.0,positive,neutral,2,0,1,0,0
Logistic Regression,They got fast hands to make a sandwich from 5 Seconds no wait in this day over crying good food hamburgers taste like McDonald's,they got fast hands to make a sandwich from seconds no wait in this day over crying good food hamburgers taste like mcdonald's,4.0,positive,negative,23,0,0,0,0
Logistic Regression,"It's a hit or miss with McDonald's location. At times you can recieved a good customer service and wait a long while to get your food. When you finally get your food from waiting so long (this is when it's not busy), the food is not assembled properly or it's over cooked almost border line burnt. If you wanted coffee from this location, major of the staff cant make good coffee. I often look for a particular employee that makes it the best. On the other hand, this location is one of the most cleanest locations I've ever been in. Management does a good job making sure everything is clean and ready for business. Every time I come in their always cleaning the deep fryer, counters, refilling the machines and all, despite all the college kids and tourists wreaking the joint. They do pick up the place in high traffic and complete orders in a timely manner with sacrifice to customer experience. I would love to see more pride in the making of the order look close to the photo and consistency with delivering good customer service.",it's a hit or miss with mcdonald's location at times you can recieved a good customer service and wait a long while to get your food when you finally get your food from waiting so long this is when it's not busy the food is not assembled properly or it's over cooked almost border line burnt if you wanted coffee from this location major of the staff cant make good coffee i often look for a particular employee that makes it the best on the other hand this location is one of the most cleanest locations i've ever been in management does a good job making sure everything is clean and ready for business every time i come in their always cleaning the deep fryer counters refilling the machines and all despite all the college kids and tourists wreaking the joint they do pick up the place in high traffic and complete orders in a timely manner with sacrifice to customer experience i would love to see more pride in the making of the order look close to the photo and consistency with delivering good customer service,3.0,neutral,positive,187,0,0,0,0
Logistic Regression,Good to know they are open 24/7 now,good to know they are open now,1.0,negative,neutral,7,0,0,0,0
Logistic Regression,"Unfortunately had  a terrible street singer doing karaoke with a big speaker , loud and out of tune, its not the restaurant fault though they where nice",unfortunately had a terrible street singer doing karaoke with a big speaker loud and out of tune its not the restaurant fault though they where nice,5.0,positive,neutral,26,0,0,0,0
Logistic Regression,"They had a very limited space, but to make an agile experience, they have two big touch screen menus to place your order faster than going to directly to the cashier line. They only have one unisex restroom, so if you are in a hurry, be prepared mentally to wait. Anyway I think you'll enjoy your meal, if you take in consideration these things.",they had a very limited space but to make an agile experience they have two big touch screen menus to place your order faster than going to directly to the cashier line they only have one unisex restroom so if you are in a hurry be prepared mentally to wait anyway i think you'll enjoy your meal if you take in consideration these things,4.0,positive,negative,64,0,0,0,0
Logistic Regression,"Good luck getting service. I tried to order at the counter instead of the kiosk, and stood there as 3 people directly on the other side of the counter ignored me for ages. I could understand if it was busy, but I was the only person there! I finally gave up and went to Shake Shack.",good luck getting service i tried to order at the counter instead of the kiosk and stood there as people directly on the other side of the counter ignored me for ages i could understand if it was busy but i was the only person there i finally gave up and went to shake shack,1.0,negative,neutral,55,0,1,0,0
Logistic Regression,Staff Super Ghetto,staff super ghetto,1.0,negative,positive,3,0,0,0,0
Logistic Regression,"Busy as heck, but it does what McDonalds normally do - gets you standardized food quickly without any fuss.  One-person bathroom for customers only, but two levels of seating.  Honestly, we want here because we were burned out from a day of ""touristing"" and just wanted something to eat quickly.",busy as heck but it does what mcdonalds normally do gets you standardized food quickly without any fuss one person bathroom for customers only but two levels of seating honestly we want here because we were burned out from a day of touristing and just wanted something to eat quickly,5.0,positive,neutral,50,0,0,0,0
Logistic Regression,Better service than usual. manager moved my order along. He wanted my order number to ease the wait!!,better service than usual manager moved my order along he wanted my order number to ease the wait,4.0,positive,negative,18,0,2,0,0
Logistic Regression,"Typical McDonald's experience. Long lines. Long wait (considering what you're getting). Rude, ghetto employees. Equally rude and ghetto patrons. Just there for a cheap ""quick"" snack or meal.",typical mcdonald's experience long lines long wait considering what you're getting rude ghetto employees equally rude and ghetto patrons just there for a cheap quick snack or meal,1.0,negative,neutral,28,0,0,0,0
Logistic Regression,One of the cashiers was given tho much attitude and didn't have patience for the customer/s to get the coupon,one of the cashiers was given tho much attitude and didn't have patience for the customer s to get the coupon,3.0,neutral,negative,21,0,0,0,0
Logistic Regression,"This location is not open 24 hrs as indicated, closes around 11pm",this location is not open hrs as indicated closes around pm,3.0,neutral,negative,11,0,0,0,0
Logistic Regression,"Employees they just play a lot of,talk a lot of and they work properly",employees they just play a lot of talk a lot of and they work properly,1.0,negative,neutral,15,0,0,0,0
Logistic Regression,Not usually crowded which I like. The staff could smile more though.,not usually crowded which i like the staff could smile more though,4.0,positive,neutral,12,0,0,0,0
Logistic Regression,they have customer care,they have customer care,5.0,positive,negative,4,0,0,0,0
Logistic Regression,They got out all the drug addict from the stite,they got out all the drug addict from the stite,4.0,positive,negative,10,0,0,0,0
Logistic Regression,"Quick bite,fast service.",quick bite fast service,4.0,positive,neutral,4,0,0,0,0
Logistic Regression,You get a dinner and a show.,you get a dinner and a show,5.0,positive,negative,7,0,0,0,0
Logistic Regression,They need more cashiers,they need more cashiers,4.0,positive,neutral,4,0,0,0,0
Logistic Regression,The toilets were disgusting :/,the toilets were disgusting,3.0,neutral,negative,4,0,0,0,0
Logistic Regression,24 hours a plus,hours a plus,3.0,neutral,negative,3,0,0,0,0
Logistic Regression,Poor service,poor service,3.0,neutral,negative,2,0,0,0,1
Logistic Regression,Convenience to work,convenience to work,4.0,positive,neutral,3,0,0,0,0
Logistic Regression,Sucks!!!!,sucks,3.0,neutral,negative,1,0,4,0,1
Logistic Regression,Ever hear of it?,ever hear of it,5.0,positive,negative,4,1,0,0,0
Logistic Regression,Come on... It's McDonald's,come on it's mcdonald's,2.0,negative,neutral,4,0,0,0,0
Logistic Regression,it was mcdonalds,it was mcdonalds,4.0,positive,neutral,3,0,0,0,0
Logistic Regression,"Service to review and the toilets closed for no reason.

8:00 pm they close the space for seating. ï¿½ï",service to review and the toilets closed for no reason pm they close the space for seating,1.0,negative,neutral,17,0,0,0,0
Logistic Regression,"Below-average Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½cces, especially in terms of cleanliness, but also the friendliness of the staff. You know that from Germany much more professional, cleaner and above all friendlier. I like McDonald's, but we won't be going back here. What was good: there was enough space and on the upper floor you can also look",below average m cces especially in terms of cleanliness but also the friendliness of the staff you know that from germany much more professional cleaner and above all friendlier i like mcdonald's but we won't be going back here what was good there was enough space and on the upper floor you can also look,2.0,negative,neutral,55,0,0,0,0
Logistic Regression,"I rate it as good! Nice physical space, service too. But unfortunately the place only had 1 bathroom. Men, women, children and the disabled. 1 toilet. 1 sink. 1 changer. Oh you can imagine!",i rate it as good nice physical space service too but unfortunately the place only had bathroom men women children and the disabled toilet sink changer oh you can imagine,2.0,negative,neutral,30,0,2,0,0
Logistic Regression,"Unspeakable, to avoid as much as possible, better to eat pizza for a dollar.",unspeakable to avoid as much as possible better to eat pizza for a dollar,1.0,negative,positive,14,0,0,0,0
Logistic Regression,They do not allow consumption inside the premises. Quick take away service.,they do not allow consumption inside the premises quick take away service,4.0,positive,neutral,12,0,0,0,0
Logistic Regression,The filth of the bathrooms is impressive. It is not possible to think that an internationally renowned chain maintains the bathrooms in that state.,the filth of the bathrooms is impressive it is not possible to think that an internationally renowned chain maintains the bathrooms in that state,1.0,negative,neutral,24,0,0,0,0
Logistic Regression,Noisy,noisy,2.0,negative,neutral,1,0,0,0,0
Logistic Regression,The cutest staff in all of Manhattan,the cutest staff in all of manhattan,1.0,negative,positive,7,0,0,0,0
Logistic Regression,Optimal,optimal,5.0,positive,neutral,1,0,0,0,0
Logistic Regression,Of course this is my home McDonald's so I know how it works and how quick they are and how good they are and I never have a problem with this place it's not big it's just a small one in and out it's all you do I like that,of course this is my home mcdonald's so i know how it works and how quick they are and how good they are and i never have a problem with this place it's not big it's just a small one in and out it's all you do i like that,5.0,positive,negative,50,0,0,0,0
Logistic Regression,The nuggets had a nasty after taste. The Big Mac was good,the nuggets had a nasty after taste the big mac was good,3.0,neutral,positive,12,0,0,0,0
Logistic Regression,So far no food poisoning. There's a random man who comes at around night time and sometimes tries to talk to you.,so far no food poisoning there's a random man who comes at around night time and sometimes tries to talk to you,3.0,neutral,negative,22,0,0,0,0
Logistic Regression,They don't serve breakfast all day. Very disappointing.,they don't serve breakfast all day very disappointing,3.0,neutral,negative,8,0,0,0,0
Logistic Regression,3rd time maybe they will get it right,rd time maybe they will get it right,1.0,negative,neutral,8,0,0,0,0
Logistic Regression,Very busy spot people begging at the door for money and at least they opened the upstairs and the bathrooms again so you can actually sit and eat without stressing where to go after you order. Very clean did exactly what I asked for my order and always friendly. Been going here for a while when I used to work around the corner before the whole COVID-19 changed everything. But it's a place if I'm around that area I'd walk there to eat instead of Checkers   or 99cent pizza depend if your in the mood for it.,very busy spot people begging at the door for money and at least they opened the upstairs and the bathrooms again so you can actually sit and eat without stressing where to go after you order very clean did exactly what i asked for my order and always friendly been going here for a while when i used to work around the corner before the whole covid changed everything but it's a place if i'm around that area i'd walk there to eat instead of checkers or cent pizza depend if your in the mood for it,3.0,neutral,positive,97,0,0,0,0
